"Source","Target","extCalls","extData","hierarchy","returns","declarations","extDataStrict","all"
"Config/IServerConfigManager.cs","Config/ServerConfig.cs","0","0","0","1","1","0","2"
"Config/IServerEvents.cs","Config/ServerState.cs","0","0","0","0","1","0","1"
"Config/ServerConfig.cs","Config/ServerState.cs","0","0","0","0","3","0","3"
"Config/ServerConfigManager.cs","IO/IFileReader.cs","1","0","0","0","2","0","3"
"Config/ServerConfigManager.cs","IO/IFileWriter.cs","1","0","0","0","2","0","3"
"Config/ServerConfigManager.cs","Config/ServerState.cs","0","1","0","0","0","0","1"
"Config/ServerConfigManager.cs","Config/IServerConfigManager.cs","0","0","1","0","0","0","1"
"Config/ServerConfigManager.cs","Config/ServerConfig.cs","0","0","0","1","2","0","3"
"Config/ServerEvents.cs","Config/IServerEvents.cs","0","0","1","0","0","0","1"
"Config/ServerEvents.cs","Config/ServerState.cs","0","0","0","0","1","0","1"
"HTTPHeaders/ContentTypeHeaderProvider.cs","HTTPHeaders/IContentTypeHeaderProvider.cs","0","0","1","0","0","0","1"
"IO/FilePathProvider.cs","IO/IFilePathValidator.cs","1","0","0","0","2","0","3"
"IO/FilePathProvider.cs","IO/IFilePathProvider.cs","0","0","1","0","0","0","1"
"IO/FilePathValidator.cs","IO/IFilePathValidator.cs","0","0","1","0","0","0","1"
"IO/FileReader.cs","IO/IFileReader.cs","0","0","1","0","0","0","1"
"IO/FileWriter.cs","IO/IFileWriter.cs","0","0","1","0","0","0","1"
"Program.cs","Server.cs","1","0","0","0","1","0","2"
"Program.cs","IO/FileReader.cs","0","0","0","0","1","0","1"
"Program.cs","IO/FilePathValidator.cs","0","0","0","0","1","0","1"
"Program.cs","IO/FilePathProvider.cs","0","0","0","0","1","0","1"
"Program.cs","Config/ServerEvents.cs","0","0","0","0","1","0","1"
"Request/IRequestParser.cs","Request/RequestData.cs","0","0","0","1","0","0","1"
"Request/RequestParser.cs","Request/IRequestParser.cs","0","0","1","0","0","0","1"
"Request/RequestParser.cs","Request/RequestData.cs","0","0","0","1","0","0","1"
"Response/ConfigRequestHandler.cs","Config/IServerEvents.cs","4","0","0","0","2","0","6"
"Response/ConfigRequestHandler.cs","Config/ServerState.cs","0","3","0","0","1","0","4"
"Response/ConfigRequestHandler.cs","Response/IConfigRequestHandler.cs","0","0","1","0","0","0","1"
"Response/IResponseCreator.cs","Request/RequestData.cs","0","0","0","0","1","0","1"
"Response/IResponseCreator.cs","Response/ResponseStatusLine.cs","0","0","0","0","1","0","1"
"Response/IResponseHeaderParser.cs","Response/ResponseStatusLine.cs","0","0","0","0","1","0","1"
"Response/ResponseCreator.cs","Response/IConfigRequestHandler.cs","1","0","0","0","2","0","3"
"Response/ResponseCreator.cs","HTTPHeaders/IContentTypeHeaderProvider.cs","1","0","0","0","2","0","3"
"Response/ResponseCreator.cs","Response/IResponseHeaderParser.cs","3","0","0","0","2","0","5"
"Response/ResponseCreator.cs","IO/IFilePathProvider.cs","1","0","0","0","2","0","3"
"Response/ResponseCreator.cs","IO/IFileReader.cs","1","0","0","0","2","0","3"
"Response/ResponseCreator.cs","Request/RequestData.cs","0","10","0","0","1","0","11"
"Response/ResponseCreator.cs","Response/ResponseStatusLine.cs","0","2","0","0","4","0","6"
"Response/ResponseCreator.cs","Response/IResponseCreator.cs","0","0","1","0","0","0","1"
"Response/ResponseHeaderParser.cs","Response/ResponseStatusLine.cs","0","3","0","0","1","0","4"
"Response/ResponseHeaderParser.cs","Response/IResponseHeaderParser.cs","0","0","1","0","0","0","1"
"Server.cs","Config/IServerConfigManager.cs","6","0","0","0","2","0","8"
"Server.cs","IO/IFilePathProvider.cs","2","0","0","0","2","0","4"
"Server.cs","Request/IRequestParser.cs","1","0","0","0","2","0","3"
"Server.cs","IO/IFilePathValidator.cs","1","0","0","0","2","0","3"
"Server.cs","Response/IResponseCreator.cs","2","0","0","0","2","0","4"
"Server.cs","Config/ServerConfig.cs","0","22","0","0","1","0","23"
"Server.cs","Config/ServerState.cs","0","10","0","0","1","0","11"
"Server.cs","Request/RequestData.cs","0","5","0","0","1","0","6"
"Server.cs","Exceptions/ServerException.cs","0","1","0","0","0","0","1"
