"Source","Target","Parameter Dependency","returns","declarations","Properties Dependency","Object Creation Dependency","Fields Dependency","Local Variables Dependency","hierarchy","Exceptions Thrown Dependency","all"
"Config/IServerConfigManager.cs","Config/ServerConfig.cs","1","1","1","0","0","0","0","0","0","3"
"Config/IServerEvents.cs","Config/ServerState.cs","1","0","1","0","0","0","0","0","0","2"
"Config/ServerConfig.cs","Config/ServerState.cs","2","0","3","1","0","0","0","0","0","6"
"Config/ServerConfigManager.cs","Config/ServerConfig.cs","1","1","2","0","1","0","1","0","0","6"
"Config/ServerConfigManager.cs","IO/IFileReader.cs","1","0","2","0","0","1","0","0","0","4"
"Config/ServerConfigManager.cs","IO/IFileWriter.cs","1","0","2","0","0","1","0","0","0","4"
"Config/ServerConfigManager.cs","Config/IServerConfigManager.cs","0","0","0","0","0","0","0","1","0","1"
"Config/ServerEvents.cs","Config/ServerState.cs","1","0","1","0","0","0","0","0","0","2"
"Config/ServerEvents.cs","Config/IServerEvents.cs","0","0","0","0","0","0","0","1","0","1"
"HTTPHeaders/ContentTypeHeaderProvider.cs","HTTPHeaders/IContentTypeHeaderProvider.cs","0","0","0","0","0","0","0","1","0","1"
"IO/FilePathProvider.cs","IO/IFilePathValidator.cs","1","0","2","0","0","1","0","0","0","4"
"IO/FilePathProvider.cs","IO/IFilePathProvider.cs","0","0","0","0","0","0","0","1","0","1"
"IO/FilePathValidator.cs","IO/IFilePathValidator.cs","0","0","0","0","0","0","0","1","0","1"
"IO/FileReader.cs","IO/IFileReader.cs","0","0","0","0","0","0","0","1","0","1"
"IO/FileWriter.cs","IO/IFileWriter.cs","0","0","0","0","0","0","0","1","0","1"
"Program.cs","IO/FileReader.cs","0","0","1","0","1","0","1","0","0","3"
"Program.cs","IO/FilePathValidator.cs","0","0","1","0","1","0","1","0","0","3"
"Program.cs","IO/FilePathProvider.cs","0","0","1","0","1","0","1","0","0","3"
"Program.cs","Config/ServerEvents.cs","0","0","1","0","1","0","1","0","0","3"
"Program.cs","Server.cs","0","0","1","0","1","0","1","0","0","3"
"Program.cs","Config/ServerConfigManager.cs","0","0","0","0","1","0","0","0","0","1"
"Program.cs","IO/FileWriter.cs","0","0","0","0","1","0","0","0","0","1"
"Program.cs","Request/RequestParser.cs","0","0","0","0","1","0","0","0","0","1"
"Program.cs","Response/ResponseCreator.cs","0","0","0","0","1","0","0","0","0","1"
"Program.cs","Response/ResponseHeaderParser.cs","0","0","0","0","1","0","0","0","0","1"
"Program.cs","HTTPHeaders/ContentTypeHeaderProvider.cs","0","0","0","0","1","0","0","0","0","1"
"Program.cs","Response/ConfigRequestHandler.cs","0","0","0","0","1","0","0","0","0","1"
"Request/IRequestParser.cs","Request/RequestData.cs","0","1","0","0","0","0","0","0","0","1"
"Request/RequestParser.cs","Exceptions/ServerException.cs","0","0","0","0","6","0","0","0","6","12"
"Request/RequestParser.cs","Request/RequestData.cs","0","1","0","0","1","0","0","0","0","2"
"Request/RequestParser.cs","Request/IRequestParser.cs","0","0","0","0","0","0","0","1","0","1"
"Response/ConfigRequestHandler.cs","Config/IServerEvents.cs","1","0","2","0","0","1","0","0","0","4"
"Response/ConfigRequestHandler.cs","Config/ServerState.cs","0","0","1","0","0","0","1","0","0","2"
"Response/ConfigRequestHandler.cs","Response/IConfigRequestHandler.cs","0","0","0","0","0","0","0","1","0","1"
"Response/IResponseCreator.cs","Request/RequestData.cs","1","0","1","0","0","0","0","0","0","2"
"Response/IResponseCreator.cs","Response/ResponseStatusLine.cs","1","0","1","0","0","0","0","0","0","2"
"Response/IResponseHeaderParser.cs","Response/ResponseStatusLine.cs","1","0","1","0","0","0","0","0","0","2"
"Response/ResponseCreator.cs","Response/ResponseStatusLine.cs","3","0","4","0","7","0","1","0","0","15"
"Response/ResponseCreator.cs","Response/IResponseHeaderParser.cs","1","0","2","0","0","1","0","0","0","4"
"Response/ResponseCreator.cs","IO/IFilePathProvider.cs","1","0","2","0","0","1","0","0","0","4"
"Response/ResponseCreator.cs","IO/IFileReader.cs","1","0","2","0","0","1","0","0","0","4"
"Response/ResponseCreator.cs","HTTPHeaders/IContentTypeHeaderProvider.cs","1","0","2","0","0","1","0","0","0","4"
"Response/ResponseCreator.cs","Response/IConfigRequestHandler.cs","1","0","2","0","0","1","0","0","0","4"
"Response/ResponseCreator.cs","Request/RequestData.cs","1","0","1","0","0","0","0","0","0","2"
"Response/ResponseCreator.cs","Response/IResponseCreator.cs","0","0","0","0","0","0","0","1","0","1"
"Response/ResponseHeaderParser.cs","Response/ResponseStatusLine.cs","1","0","1","0","0","0","0","0","0","2"
"Response/ResponseHeaderParser.cs","Response/IResponseHeaderParser.cs","0","0","0","0","0","0","0","1","0","1"
"Server.cs","Config/ServerConfig.cs","0","0","1","0","2","1","0","0","0","4"
"Server.cs","Request/RequestData.cs","0","0","1","0","1","0","1","0","0","3"
"Server.cs","Response/ResponseStatusLine.cs","0","0","0","0","1","0","0","0","0","1"
"Server.cs","IO/IFilePathProvider.cs","1","0","2","0","0","1","0","0","0","4"
"Server.cs","Config/IServerConfigManager.cs","1","0","2","0","0","1","0","0","0","4"
"Server.cs","Request/IRequestParser.cs","1","0","2","0","0","1","0","0","0","4"
"Server.cs","Response/IResponseCreator.cs","1","0","2","0","0","1","0","0","0","4"
"Server.cs","IO/IFilePathValidator.cs","1","0","2","0","0","1","0","0","0","4"
"Server.cs","Config/ServerState.cs","1","0","1","0","0","0","0","0","0","2"
